,Brand,Model,Features,Color,Display_size,belt_size,Prices,MRP,Deal,Offer_percentage
42,Cellecor,M5,"PLUS 2.01"" IPS HD Display | 700 NITS | BT-C...",Cool Grey Strap,2.01, Free Size,999.0,3999.0,Only few left,75
43,Fire-Boltt,Talk,35.3mm (1.39) Bluetooth Calling with Sp...,Deep Blue Strap,1.39, L,1099.0,9999.0,Super Deals,89
44,boAt,Storm,"call 3 w/TBT Navigation,Watch Face Studio,1....",Black Metal Strap,1.83, Free Size,1198.0,8499.0,Super Deals,85
45,Noise,Icon,"4 with Stunning 1.96'' AMOLED Display, Metal...",Jet Black Strap,1.96, Regular,1699.0,6999.0,Super Deals,75
46,GOBOULT,(formerly,"Boult) Rover Pro 1.43'' AMOLED, BT Ca...",Ash Black Strap,1.43, Free Size,1599.0,9999.0,Super Deals,84
47,GOBOULT,(formerly,"Boult) Dire 1.38"" 2.5D HD Display, 50...",Black Strap,1.38, Free Size,1099.0,4999.0,Bank Offer,78
48,Fire-Boltt,Ninja,Talk 35.3mm (1.39) Round Bluetooth Cal...,Grey Strap,1.39," 1.39""",1299.0,11999.0,Bank Offer,89
49,Fire-Boltt,Ninja,Calling Pro Plus 46.5mm (1.83) Display...,Wine New Strap,1.83, Free Size,1049.0,9999.0,Super Deals,89
50,Fire-Boltt,Hurricane,33.02mm (1.3) Curved Glass Display...,Grey Strap,1.3, Free Size,1499.0,8999.0,Bank Offer,83
51,GOBOULT,(formerly,"Boult) Drift BT Calling HD Display, 1...",Sand Black Strap,nan, Free Size,1099.0,7999.0,Bank Offer,86
52,Fire-Boltt,Ninja,Calling Pro Plus 46.5mm (1.83) Display...,Black Strap,1.83, Free Size,1099.0,9999.0,Bank Offer,89
53,Fastrack,Optimus2,Pro-1.43'' AMOLED|Advanced Blazing Fa...,Black Strap,1.43, Free Size,2399.0,3999.0,Hot Deal,40
54,GOBOULT,(formerly,"Boult) Trail 2.01"" 3D Curved Display,...",Raven Black Strap,2.01, Free Size,1199.0,6999.0,Bank Offer,82
55,Noise,Crew,"1.38 Round Display with Bluetooth Calling, M...",Midnight Blue Strap,nan, Regular,1299.0,4999.0,Super Deals,74
56,Fire-Boltt,Rise,"Luxe Bluetooth Calling 47mm (1.85), Met...",Rose Gold Millanese Strap,1.85, Free Size,1149.0,12999.0,Super Deals,91
57,Fire-Boltt,Brillia,51.3mm (2.06 inch) Largest AMOLED Di...,Champagne Strap,2.06, Free Size,1749.0,18999.0,Super Deals,90
58,boAt,Storm,"Call w/ 4.29 cm(1.69""), BT Calling & 550 Nit...",Bold Black Strap,1.69, Free Size,1249.0,7990.0,Super Deals,84
59,Noise,Icon,"2 2025 - 1.81"" Display, 500 NITS BrightnessB...",Aqua Blue Strap,1.81, Regular,1098.0,5999.0,Super Deals,81
60,Fire-Boltt,Ninja,Talk 35.3mm (1.39) Round Bluetooth Cal...,Gold SS Strap,1.39, 1.39,1349.0,11999.0,Super Deals,88
61,GOBOULT,(formerly,"Boult) Drift BT Calling HD Display, 1...",Beige Strap,nan, Free Size,1099.0,7999.0,Bank Offer,86
62,Fire-Boltt,Rise,"Bluetooth Calling 47mm (1.85), Metal Bo...",Cinnamon Slate Strap,1.85, Free Size,1049.0,11999.0,Super Deals,91
63,REDMI,Watch,"Move 1.85 Premium AmoLED,14 Day Battery,Bes...",Silver Sprint Strap,nan, Free Size,1999.0,3999.0,Bank Offer,50
64,FITRIC,T800,ultra smart watch with wireless charging Sm...,orange Strap,nan, M,460.0,2999.0,Super Deals,84
65,Noise,Icon,"2 2025 - 1.81"" Display, 500 NITS BrightnessB...",Space Blue Strap,1.81, Regular,1098.0,5999.0,Super Deals,81
66,GOBOULT,(formerly,"Boult) Drift Max 2.01''HD Screen,BT C...",Pure Black Strap,2.01, Free Size,1499.0,7999.0,Bank Offer,81
67,Fire-Boltt,Rise,"Bluetooth Calling 47mm (1.85), Metal Bo...",Gold Black Strap,1.85, Free Size,1099.0,11999.0,Super Deals,90
68,GameSir,I8,Pink-A1 Full Screen Touch Watch Specially Ma...,Pink Strap,nan, 1.75 Inch Full Screen Display Notifications smartwatch,628.0,1999.0,Bank Offer,68
69,Fire-Boltt,Hurricane,33.02mm (1.3) Curved Glass Display...,Black Strap,1.3, Free Size,1399.0,8999.0,Bank Offer,84
70,Fire-Boltt,Ninja,Talk 35.3mm (1.39) Round Bluetooth Cal...,White Classic Strap,1.39, Free Size,1888.0,11999.0,Bank Offer,84
71,GameSir,I8,Pro Smart Watch Series 8 with multiple Featu...,Black Strap,nan, 1.75 Inch Full Screen Display,630.0,2999.0,Super Deals,78
72,Noise,Evolve,4 1.46 AMOLED Always On Display with Premi...,Elite Balck Strap,nan, Regular,2799.0,8999.0,Super Deals,68
73,Noise,Icon,"4 with Stunning 1.96'' AMOLED Display, Metal...",Midnight Gold Strap,1.96, Regular,1699.0,6999.0,Super Deals,75
74,Fire-Boltt,Hurricane,33.02mm (1.3) Curved Glass Display...,Gold Black Strap,1.3, Free Size,1499.0,8999.0,Bank Offer,83
