,Brand,Model,Features,Color,Display_size,belt_size,Prices,MRP,Deal,Offer_percentage
184,Fastrack,Revoltt,Classic 1.91 HD Display|700 Nits|Funct...,Black Strap,nan, Free Size,2399.0,5995.0,Super Deals,59
185,Noise,Icon,"4 with Stunning 1.96'' AMOLED Display, Metal...",Rose Pink Strap,1.96, Regular,1699.0,6999.0,Super Deals,75
186,GOBOULT,(formerly,"Boult) Drift Max 2.01''HD Screen,BT C...",Pure Black Strap,2.01, Free Size,1499.0,7999.0,Bank Offer,81
187,Fire-Boltt,Rise,"Bluetooth Calling 47mm (1.85), Metal Bo...",Gold Black Strap,1.85, Free Size,1099.0,11999.0,Super Deals,90
188,boAt,Wave,"Fury with 1.83'' HD Display, Bluetooth Callin...",Active Black Strap,1.83, Free Size,1199.0,6999.0,Bank Offer,82
189,Noise,Crew,"Go with 1.39"" Display, BT Calling with Metal...",Black Link Strap,1.39, Regular,1699.0,4999.0,Bank Offer,66
190,Fire-Boltt,Ninja,Talk 35.3mm (1.39) Round Bluetooth Cal...,White Classic Strap,1.39, Free Size,1888.0,11999.0,Bank Offer,84
191,GameSir,I8,Pro Smart Watch Series 8 with multiple Featu...,Black Strap,nan, 1.75 Inch Full Screen Display,630.0,2999.0,Super Deals,78
192,Noise,Icon,2 Elite Edition 1.8'' Display with Metallic ...,Elite Black Strap,1.8, Regular,1399.0,6999.0,Super Deals,80
193,Fire-Boltt,Rise,"Luxe Stainless Steel Luxury, 47mm (1.85...",Silver C Strap,1.85, Free Size,1699.0,14999.0,Bank Offer,88
194,Fire-Boltt,Ninja,Talk 35.3mm (1.39) Round Bluetooth Cal...,Gold Steel Strap,1.39, 1.39,1149.0,11999.0,Super Deals,90
195,GOBOULT,(formerly,"Boult) Crown 1.95"" Screen, BT Calling...",Silver Strap,1.95, Free Size,1198.0,4499.0,Super Deals,73
196,Fire-Boltt,Brillia,Pro 51.3mm (2.02) Largest AMOLED Dis...,Champagne Chain Strap,2.02, Free Size,1849.0,18999.0,Super Deals,90
197,Fire-Boltt,Nnja,Talk 35.3mm (1.39) Round Bluetooth Call...,Pink Strap,1.39," 1.39""",1299.0,11999.0,Bank Offer,89
198,Fastrack,Revoltt,FS1-1.85''|Advanced Blazing Fast UI|Wo...,Blue Strap,1.85, Free Size,1449.0,3799.0,Hot Deal,61
199,Fastrack,FS1-1.85''|Advanced,Blazing Fast UI|Working Cr...,Green Strap,1.85, Free Size,1599.0,3799.0,Bank Offer,57
200,GOBOULT,(formerly,"Boult) Crown 1.95"" Screen, BT Calling...",Black Strap,1.95, Free Size,1099.0,4499.0,Super Deals,75
201,Fire-Boltt,Ninja,Calling Pro Plus 46.5mm (1.83) Display...,Cinnamon Slate Strap,1.83, Free Size,1049.0,9999.0,Super Deals,89
202,Fire-Boltt,Ninja,Talk 35.3mm (1.39) Round Bluetooth Cal...,Gunmetal Grey Strap,1.39, Free Size,1349.0,11999.0,Super Deals,88
203,boAt,Storm,"Call 3 Plus w/ Turn by Turn Navigation, QR T...",Dark Blue Strap,1.96, Free Size,1349.0,7499.0,Super Deals,82
204,Fastrack,Revoltt,Pro-1.97'' Super AMOLED Display|AOD|Wo...,Beige Strap,1.97, Free Size,2399.0,4999.0,Hot Deal,52
205,GameSir,T800,Ultra Metal Silver Smartwatch with Bluetoo...,Silver Metal Strap,nan, Free Size,771.0,3999.0,Bank Offer,80
206,GOBOULT,(formerly,"Boult) Rover Pro 1.43'' AMOLED, BT Ca...",Ash Black Strap,1.43, Free Size,1599.0,9999.0,Super Deals,84
207,GOBOULT,(formerly,"Boult) Dire 1.38"" 2.5D HD Display, 50...",Black Strap,1.38, Free Size,1099.0,4999.0,Bank Offer,78
208,boAt,Lunar,"Discovery w/ Turn by Turn Navigation, 3.53 c...",Mint Green Strap,nan, Free Size,1499.0,8499.0,Bank Offer,82
209,GOBOULT,(formerly,"Boult) Dire 1.38"" 2.5D HD Display, 50...",Blue Strap,1.38, Free Size,1099.0,4999.0,Bank Offer,78
210,Fire-Boltt,Hurricane,33.02mm (1.3) Curved Glass Display...,Grey Strap,1.3, Free Size,1499.0,8999.0,Bank Offer,83
211,GOBOULT,(formerly,"Boult) Drift BT Calling HD Display, 1...",Sand Black Strap,nan, Free Size,1099.0,7999.0,Bank Offer,86
212,Noise,Colorfit,Icon 2 1.8'' Display with Bluetooth Call...,Midnight Gold Strap,1.8, Regular,1199.0,5999.0,Super Deals,80
213,Google,Pixel,"Watch 3 (45 mm), display, Advanced motion ...",Obsidian Strap,45 mm, Free Size,29990.0,43900.0,Super Deals,31
214,Fire-Boltt,Talk,35.3mm (1.39) Bluetooth Calling with Sp...,Deep Blue Strap,1.39, L,1099.0,9999.0,Super Deals,89
215,Fastrack,Revoltt,FS1-1.83''|BT Calling|Fast Charge|110+...,Blue Strap,1.83, Free Size,1599.0,3995.0,Only few left,59
216,Fire-Boltt,Rise,"Luxe Bluetooth Calling 47mm (1.85), Met...",Rose Gold Millanese Strap,1.85, Free Size,1149.0,12999.0,Super Deals,91
217,Fire-Boltt,Brillia,51.3mm (2.06 inch) Largest AMOLED Di...,Champagne Strap,2.06, Free Size,1749.0,18999.0,Super Deals,90
218,boAt,Lunar,"Discovery/ Turn by Turn Navigation, 3.53 cm ...",Active Blue Strap,nan, Free Size,1499.0,8499.0,Bank Offer,82
219,Fastrack,Revoltt,FR2-1.38''|Advanced Blazing Fast UI|Wo...,Black Strap,1.38, Free Size,1699.0,3999.0,Bank Offer,57
220,Fire-Boltt,Ninja,Talk 35.3mm (1.39) Round Bluetooth Cal...,Gold SS Strap,1.39, 1.39,1349.0,11999.0,Super Deals,88
221,GOBOULT,(formerly,"Boult) Drift BT Calling HD Display, 1...",Beige Strap,nan, Free Size,1099.0,7999.0,Bank Offer,86
222,Noise,Crew,"1.38 Round Display with Bluetooth Calling, M...",Grey Strap,nan, Regular,1299.0,4999.0,Super Deals,74
223,boAt,Ultima,"Prime w/ 1.43""(3.68cm)AMOLED Display,Person...",Steel Black Strap,1.43, Free Size,2199.0,9499.0,Super Deals,76
224,Fastrack,Revoltt,FS1-1.83''|BT Calling|Fast Charge|110+...,Teal Strap,1.83, Free Size,1599.0,3995.0,Bank Offer,59
225,Google,Pixel,"Watch 3 (45 mm), AMOLED LTPO display, Adva...",Porcelain Strap,45 mm, Free Size,29990.0,43900.0,Super Deals,31
226,GOBOULT,(formerly,"Boult) Drift Max 2.01''HD Screen,BT C...",Pure Black Strap,2.01, Free Size,1499.0,7999.0,Bank Offer,81
227,Fire-Boltt,Rise,"Bluetooth Calling 47mm (1.85), Metal Bo...",Gold Black Strap,1.85, Free Size,1099.0,11999.0,Super Deals,90
228,Samsung,Watch6,Bluetooth,Silver Strap,nan, 44mm,12499.0,36999.0,Super Deals,66
229,GameSir,I8,Pro Smart Watch Series 8 with multiple Featu...,Black Strap,nan, 1.75 Inch Full Screen Display,630.0,2999.0,Super Deals,78
230,Fire-Boltt,Ninja,Talk 35.3mm (1.39) Round Bluetooth Cal...,White Classic Strap,1.39, Free Size,1888.0,11999.0,Bank Offer,84
231,Fire-Boltt,Brillia,Pro 51.3mm (2.02) Largest AMOLED Dis...,Champagne Chain Strap,2.02, Free Size,1849.0,18999.0,Super Deals,90
232,CMF,by,"Nothing Watch Pro, 1.96 AMOLED,BT calling with A...",Silver Strap,nan, Free Size,4349.0,5999.0,Super Deals,27
233,boAt,Storm,"Infinity, 15 Days Huge Battery(550 mAh), Fas...",Jade Gold Strap,1.83, Free Size,1299.0,5999.0,Super Deals,78
234,GARMIN,Forerunner,165 Black (A04714) Smartwatch,Black & Salte Gray Strap,nan, Free Size,25990.0,26990.0,Only few left,3
235,Noise,Halo,"2 1.43"" AMOLED, Rotating Axe-Cut Bezel, Stai...",Vintage Brown Strap,1.43, Regular,4349.0,6999.0,Super Deals,37
236,Fire-Boltt,Nnja,Talk 35.3mm (1.39) Round Bluetooth Call...,Pink Strap,1.39," 1.39""",1299.0,11999.0,Bank Offer,89
237,Fire-Boltt,Brillia,51.3mm (2.06 inch) Largest AMOLED Di...,Dark Grey Strap,2.06, Free Size,1749.0,18999.0,Super Deals,90
238,Fastrack,Optimus,"Pro with 1.43"" AMOLED Display & AOD(46...",Beige Strap,1.43, Free Size,2895.0,5995.0,Hot Deal,51
239,Fastrack,FS1-1.83''|BT,Calling|Fast Charge|110+ Sports ...,Teal Strap,1.83, Free Size,1575.0,3995.0,Bank Offer,60
240,GOBOULT,(formerly,"Boult) Crown 1.95"" Screen, BT Calling...",Black Strap,1.95, Free Size,1099.0,4499.0,Super Deals,75
241,Fire-Boltt,Ninja,Calling Pro Plus 46.5mm (1.83) Display...,Cinnamon Slate Strap,1.83, Free Size,1049.0,9999.0,Super Deals,89
242,Fastrack,Revoltt,X2 with 1.91'' BT Calling|Rotating Cro...,Black Strap,1.91, Free Size,1598.0,2995.0,Hot Deal,46
243,Fire-Boltt,Talk,35.3mm (1.39) Bluetooth Calling with Sp...,Milange Grey Strap,1.39, 46,1299.0,9999.0,Bank Offer,87
244,Noise,Evolve,4 Metal Edition with 1.46 inch AMOLED Disp...,Elite Silver Strap,1.46, Regular,2799.0,8999.0,Super Deals,68
245,Fire-Boltt,Ring,X 2.01inch HD | Always-On Display | Met...,Black S Strap,2.01, Free Size,1449.0,9999.0,Super Deals,85
246,GOBOULT,(formerly,"Boult) Rover Pro 1.43'' AMOLED, BT Ca...",Ash Black Strap,1.43, Free Size,1599.0,9999.0,Super Deals,84
247,GOBOULT,(formerly,"Boult) Dire 1.38"" 2.5D HD Display, 50...",Black Strap,1.38, Free Size,1099.0,4999.0,Bank Offer,78
248,Fire-Boltt,Brillia,Pro 51.3mm (2.02) Largest AMOLED Dis...,Blue Mesh Strap,2.02, Free Size,1849.0,18999.0,Super Deals,90
249,Fastrack,FS1,"Pro|World's First,1.96"" Super AMOLED|Highe...",Green Strap,1.96, Free Size,2795.0,7995.0,Super Deals,65
250,Fire-Boltt,Hurricane,33.02mm (1.3) Curved Glass Display...,Grey Strap,1.3, Free Size,1499.0,8999.0,Bank Offer,83
251,GOBOULT,(formerly,"Boult) Drift BT Calling HD Display, 1...",Sand Black Strap,nan, Free Size,1099.0,7999.0,Bank Offer,86
252,Fire-Boltt,Ninja,Talk 35.3mm (1.39) Round Bluetooth Cal...,Black Classic Strap,1.39, Free Size,1049.0,11999.0,Super Deals,91
253,Noise,Crew,"1.38 Round Display with Bluetooth Calling, M...",Green Strap,nan, Regular,1299.0,4999.0,Super Deals,74
254,PunnkFunnk,T800,ultra Series 8 smart watch with AI assi...,Grey Strap,nan, 1.99 Inch Large Sunlight Proof Display,619.0,2999.0,Super Deals,79
255,GameSir,Silver,"T800 Ultra Smartwatch Stainless Steel, B...",Silver Metal Strap,nan, Free Size,771.0,3999.0,Bank Offer,80
256,Fire-Boltt,Rise,"Luxe Bluetooth Calling 47mm (1.85), Met...",Rose Gold Millanese Strap,1.85, Free Size,1149.0,12999.0,Super Deals,91
257,Fire-Boltt,Brillia,51.3mm (2.06 inch) Largest AMOLED Di...,Champagne Strap,2.06, Free Size,1749.0,18999.0,Super Deals,90
258,Fastrack,|Super,AMOLED|n's Smartwatch,Black Strap,nan, Free Size,6245.0,9495.0,Hot Deal,34
259,Noise,Endeavour,"2,1.46 AMOLED, Built-in GPS, ABC Sensor...",Jet Black Strap,nan, Regular,6399.0,7999.0,Bank Offer,20
260,Fire-Boltt,Ninja,Talk 35.3mm (1.39) Round Bluetooth Cal...,Gold SS Strap,1.39, 1.39,1349.0,11999.0,Super Deals,88
261,GOBOULT,(formerly,"Boult) Drift BT Calling HD Display, 1...",Beige Strap,nan, Free Size,1099.0,7999.0,Bank Offer,86
262,boAt,Storm,"Infinity, 15 Days Huge Battery(550 mAh), Fas...",Brown Strap,1.83, Free Size,1299.0,5999.0,Super Deals,78
263,Noise,Icon,"5 with AI Watch Faces, AI Search, 1.95"" AMOL...",Jet Black Strap,1.95, Regular,1998.0,6999.0,Upto ₹300 Off on Exchange,71
264,Fire-Boltt,Ninja,Talk 35.3mm (1.39) Round Bluetooth Cal...,Silver Steel Strap,1.39, 1.39,1149.0,11999.0,Super Deals,90
265,Samsung,Galaxy,Watch6 Bluetooth,Graphite Strap,nan, 44mm,12498.0,36990.0,Super Deals,66
266,GOBOULT,(formerly,"Boult) Drift Max 2.01''HD Screen,BT C...",Pure Black Strap,2.01, Free Size,1499.0,7999.0,Bank Offer,81
267,Fire-Boltt,Rise,"Bluetooth Calling 47mm (1.85), Metal Bo...",Gold Black Strap,1.85, Free Size,1099.0,11999.0,Super Deals,90
268,Fastrack,Revoltt,FS2+|2.01'' Display|Functional Crown|B...,Blue Strap,2.01, Free Size,1699.0,2995.0,Bank Offer,43
269,Noise,Icon,"5 with AI Watch Faces, AI Search, 1.95"" AMOL...",Space Blue Strap,1.95, Regular,1998.0,6999.0,Upto ₹300 Off on Exchange,71
270,Fire-Boltt,Ninja,Talk 35.3mm (1.39) Round Bluetooth Cal...,White Classic Strap,1.39, Free Size,1888.0,11999.0,Bank Offer,84
271,GameSir,I8,Pro Smart Watch Series 8 with multiple Featu...,Black Strap,nan, 1.75 Inch Full Screen Display,630.0,2999.0,Super Deals,78
272,GOBOULT,(formerly,"Boult) Mirage 1.39"" Screen, Working C...",Inox Steel Strap,1.39, Free Size,1799.0,4999.0,Bank Offer,64
273,GOBOULT,(formerly,"Boult) Drift+ 1.85"" ,BT Calling, 500N...",Peach fuzz Strap,1.85, Free Size,1099.0,8499.0,Bank Offer,87
274,Fire-Boltt,Rise,"Luxe Stainless Steel Luxury, 47mm (1.85...",Black Strap,1.85, Free Size,1699.0,14999.0,Bank Offer,88
275,Samsung,Galaxy,Watch Ultra 2025,Blue Strap,nan, Large,59999.0,69999.0,Bank Offer,14
276,Fire-Boltt,Brillia,Pro 51.3mm (2.02) Largest AMOLED Dis...,Champagne Chain Strap,2.02, Free Size,1849.0,18999.0,Super Deals,90
277,Fire-Boltt,Nnja,Talk 35.3mm (1.39) Round Bluetooth Call...,Pink Strap,1.39," 1.39""",1299.0,11999.0,Bank Offer,89
278,Nervfit,Vibe,"1.85"" TrueColor+ Super HD, BT Calls, Water...",Midnight Black Strap,1.85, Free size,1549.0,7999.0,Bank Offer,80
279,Google,Pixel,Watch 4 Smartwatch,Obsidian Strap,nan, Free Size,43900.0,4499.0,Bank Offer,78
280,GOBOULT,(formerly,"Boult) Crown 1.95"" Screen, BT Calling...",Black Strap,1.95, Free Size,1099.0,5999.0,Super Deals,75
281,Noise,Colorfit,Icon 2 1.8'' Display with Bluetooth Call...,Jet Black Strap,1.8, Regular,1099.0,11999.0,Super Deals,81
282,Fire-Boltt,Ninja,Talk 35.3mm (1.39) Round Bluetooth Cal...,Black Classic Strap,1.39, Free Size,1049.0,14999.0,Super Deals,91
283,Fire-Boltt,Hunter,51.1mm (2.01) HD Display Bluetooth Ca...,Grey Strap,2.01, Free Size,1499.0,4999.0,Bank Offer,90
284,GOBOULT,(formerly,"Boult) Dire 1.38"" 2.5D HD Display, 50...",Jet Black Strap,1.38, Free Size,1299.0,24900.0,Bank Offer,74
285,Apple,Watch,SE 2 GPS 40mm (2nd Gen) Silver Aluminium wi...,Blue Strap,40 mm, Free Size,22499.0,8499.0,Upto ₹300 Off on Exchange,9
286,GOBOULT,(formerly,"Boult) Drift+ 1.85"" ,BT Calling, 500N...",Jet Black Strap,1.85, Free Size,999.0,9999.0,Super Deals,88
287,GOBOULT,(formerly,"Boult) Rover Pro 1.43'' AMOLED, BT Ca...",Ash Black Strap,1.43, Free Size,1599.0,8499.0,Super Deals,84
288,GOBOULT,(formerly,"Boult) Drift+ 1.85"" ,BT Calling, 500N...",Denim Blue Strap,1.85, Free Size,1299.0,6999.0,Bank Offer,84
289,Noise,Icon,"5 with AI Watch Faces, AI Search, 1.95"" AMOL...",Jet Black Strap,1.95, Regular,1998.0,4999.0,Upto ₹300 Off on Exchange,71
290,GOBOULT,(formerly,"Boult) Dire 1.38"" 2.5D HD Display, 50...",Black Strap,1.38, Free Size,1099.0,7999.0,Bank Offer,78
291,GOBOULT,(formerly,"Boult) Drift BT Calling HD Display, 1...",Sand Black Strap,nan, Free Size,1099.0,9995.0,Bank Offer,86
292,Fastrack,Radiant,FX2-2.04''|AMOLED|AOD|Premium Design|S...,Black Strap,2.04, Free Size,4848.0,8499.0,Hot Deal,51
293,boAt,Storm,"call 3 w/TBT Navigation,Watch Face Studio,1....",Blue Strap,1.83, Free Size,1399.0,3999.0,Bank Offer,83
294,Melbon,Lumina,"2.01 AMOLED Display, Smart Health, Music,...",Maroon Strap,nan, For Regular Wear,820.0,4499.0,Super Deals,79
295,Fastrack,Optimus2,Pro-1.43'' AMOLED|Advanced Blazing Fa...,Gun Black Strap,1.43, Free Size,2398.0,18999.0,Bank Offer,46
296,Fire-Boltt,Brillia,51.3mm (2.06 inch) Largest AMOLED Di...,Champagne Strap,2.06, Free Size,1749.0,11999.0,Super Deals,90
297,Fire-Boltt,Ninja,Talk 35.3mm (1.39) Round Bluetooth Cal...,Gold SS Strap,1.39, 1.39,1349.0,18999.0,Super Deals,88
298,Fire-Boltt,Brillia,51.3mm (2.06 inch) Largest AMOLED Di...,Dark Grey Strap,2.06, Free Size,1749.0,19999.0,Super Deals,90
299,Huawei,Watch,"GT4 46mm 14 Days Battery Life, TruSeen Tec...",Brown Strap,46 mm, One Size,14999.0,7999.0,Upto ₹300 Off on Exchange,25
300,GOBOULT,(formerly,"Boult) Drift Max 2.01''HD Screen,BT C...",Pure Black Strap,2.01, Free Size,1499.0,7999.0,Bank Offer,81
301,GOBOULT,(formerly,"Boult) Drift BT Calling HD Display, 1...",Beige Strap,nan, Free Size,1099.0,7999.0,Bank Offer,86
302,Nervfit,Vibe,"1.85"" TrueColor+ Super HD, BT Calls, Water...",Midnight Black Strap,1.85, Free size,1549.0,9499.0,Bank Offer,80
303,boAt,Chrome,"Horizon, 1.51''(3.83cm) AMOLED Display, Vid...",Coco Brown Strap,1.51, Free Size,3598.0,11999.0,Bank Offer,62
304,Fire-Boltt,Ninja,Talk 35.3mm (1.39) Round Bluetooth Cal...,Silver SS Strap,1.39, 1.39,1349.0,3999.0,Super Deals,88
305,Fastrack,Revoltt,FR2-1.38''|Advanced Blazing Fast UI|Wo...,Green Strap,1.38, Free Size,1599.0,24999.0,Bank Offer,60
306,Fire-Boltt,Oracle,"-, , Play store & Phone Notification ...",Orange Horon Strap,nan, Free Size,2699.0,11999.0,Super Deals,89
307,Fire-Boltt,Ninja,Talk 35.3mm (1.39) Round Bluetooth Cal...,White Classic Strap,1.39, Free Size,1888.0,27900.0,Bank Offer,84
308,Apple,Watch,SE 2 GPS 44mm (2nd Gen) Starlight Aluminium...,Starlight Strap,44 mm, Free Size,24499.0,8999.0,Upto ₹300 Off on Exchange,12
309,Nervfit,Activ,"Pro 1.39'' TrueColor+ LED, BT, HR, Sp02, ...",Black Strap,1.39, Free size,1813.0,5999.0,Bank Offer,79
310,Noise,Colorfit,Icon 2 1.8'' Display with Bluetooth Call...,Midnight Blue Strap,1.8, Regular,1099.0,11999.0,Super Deals,81
311,Fire-Boltt,Rise,"Bluetooth Calling 47mm (1.85), Metal Bo...",Gold Black Strap,1.85, Free Size,1099.0,24999.0,Super Deals,90
312,Fire-Boltt,Dream,"WristPhone - 4G SIM/LTE/WiFi, Android ...",Irish Glam Strap,nan, Free Size,4074.0,4999.0,Upto ₹300 Off on Exchange,83
313,Lifelong,Muse,"Smart Watch with BT Calling|1.91"" Display...",Multicolor Strap,1.91, Free Additional Strap,850.0,5999.0,Bank Offer,82
314,Noise,Icon,"Arc 2.01"" Immersive Curved Display, 10 Days ...",Space Blue Strap,2.01, Regular,1499.0,8999.0,Bank Offer,75
315,Noise,Evolve,4 Metal Edition with 1.46 inch AMOLED Disp...,Elite Silver Strap,1.46, Regular,2799.0,2999.0,Super Deals,68
316,GameSir,I8,Pro Smart Watch Series 8 with multiple Featu...,Black Strap,nan, 1.75 Inch Full Screen Display,630.0,11999.0,Super Deals,78
317,Fire-Boltt,Nnja,Talk 35.3mm (1.39) Round Bluetooth Call...,Pink Strap,1.39," 1.39""",1299.0,4999.0,Bank Offer,89
318,Fastrack,RevoPro-1.97'',Super AMOLED Display|AOD|Workin...,Wine Red Strap,1.97, Free Size,2542.0,6999.0,Bank Offer,49
319,Noise,Twist,"2,1.43''AMOLED Display, AI Search & Voice A...",Gold Link Strap,1.43, Regular,2498.0,4499.0,Super Deals,64
320,GOBOULT,(formerly,"Boult) Crown 1.95"" Screen, BT Calling...",Black Strap,1.95, Free Size,1099.0,9999.0,Super Deals,75
321,Fire-Boltt,Ninja,Calling Pro Plus 46.5mm (1.83) Display...,Cinnamon Slate Strap,1.83, Free Size,1049.0,5199.0,Super Deals,89
322,Maxima,Max,"Pro Infinity 2.01""Ultra HD 2.5D Curved Displ...",Pink Strap,2.01, Free Size,1177.0,5999.0,Lowest price in the year,77
323,REDMI,Watch,"3 Active Bluetooth Calling 1.83"" Screen, Up...",Charcoal Black Strap,1.83, Free Size,2399.0,3999.0,Upto ₹300 Off on Exchange,60
324,Fastrack,Revoltt,FR2-1.38''|Advanced Blazing Fast UI|Wo...,Green Strap,1.38, Free Size,1599.0,14999.0,Bank Offer,60
325,alt,OG,Supreme 1.96'' AMOLED Single Chip Calling 120 sp...,Black Strap,1.96, Regular,799.0,9999.0,Super Deals,94
326,GOBOULT,(formerly,"Boult) Rover Pro 1.43'' AMOLED, BT Ca...",Ash Black Strap,1.43, Free Size,1599.0,4999.0,Super Deals,84
327,GOBOULT,(formerly,"Boult) Dire 1.38"" 2.5D HD Display, 50...",Black Strap,1.38, Free Size,1099.0,8999.0,Bank Offer,78
328,GOBOULT,(formerly,"Boult) Drift 2, 15 days Battery life,...",Metal Black Strap,1.83, Free Size,1299.0,9499.0,Bank Offer,85
329,boAt,Chrome,"Horizon, 1.51''(3.83cm) AMOLED Display, Vid...",Coco Brown Strap,1.51, Free Size,3598.0,8999.0,Bank Offer,62
330,Fire-Boltt,Hurricane,33.02mm (1.3) Curved Glass Display...,Grey Strap,1.3, Free Size,1499.0,7999.0,Bank Offer,83
331,GOBOULT,(formerly,"Boult) Drift BT Calling HD Display, 1...",Sand Black Strap,nan, Free Size,1099.0,39900.0,Bank Offer,86
332,Google,Watch,2 Smartwatch,Hazel Active Strap,nan, Free Size,29278.0,3999.0,Upto ₹300 Off on Exchange,26
333,Melbon,Lumina,"2.01 AMOLED Display, Smart Health, Music,...",Maroon Strap,nan, For Regular Wear,820.0,7499.0,Super Deals,79
334,boAt,Storm,"Call 3 Plus w/ Turn by Turn Navigation, QR T...",Black Metal Mesh Strap,1.96, Free Size,1349.0,55900.0,Bank Offer,82
335,Apple,Watch,"Series 8, 41mm GPS + Cellular ECG app, Temp...",Starlight Sport Strap,41 mm, Regular,35382.0,12999.0,Upto ₹300 Off on Exchange,36
336,Fire-Boltt,Rise,"Luxe Bluetooth Calling 47mm (1.85), Met...",Rose Gold Millanese Strap,1.85, Free Size,1149.0,18999.0,Super Deals,91
337,Fire-Boltt,Brillia,51.3mm (2.06 inch) Largest AMOLED Di...,Champagne Strap,2.06, Free Size,1749.0,4995.0,Super Deals,90
338,Fastrack,Revoltt,FS2 1.91 Super HD Display(320x385) wit...,Black Strap,nan, Free Size,2028.0,2999.0,Bank Offer,59
339,PunnkFunnk,Edge-Lite,"| 1.99 "" Amoled Display | BT Calli...",Pink Strap,1.99, Regular Size,789.0,11999.0,Bank Offer,73
340,Fire-Boltt,Ninja,Talk 35.3mm (1.39) Round Bluetooth Cal...,Gold SS Strap,1.39, 1.39,1349.0,7999.0,Super Deals,88
341,GOBOULT,(formerly,"Boult) Drift BT Calling HD Display, 1...",Beige Strap,nan, Free Size,1099.0,9999.0,Bank Offer,86
342,boAt,Lunar,"Discovery Pro, 1.39'' HD Display, QR Tray, E...",Sports Blue Strap,1.39, Free Size,1599.0,11990.0,Super Deals,84
343,alt,Drip,Smartwatch,Lunar Black Strap,nan, Regular,799.0,19999.0,Super Deals,93
344,Fire-Boltt,Cobra,"45.2mm (1.78) AMOLED Army Grade Build,...",Camo Sand Strap,1.78, Free Size,2199.0,9495.0,Super Deals,89
345,Fastrack,Marvellous,FX2-1.54|Super AMOLED|1000 Nits|Lux...,Gun Strap,nan, Free Size,6895.0,7999.0,Upto ₹300 Off on Exchange,27
346,GOBOULT,(formerly,"Boult) Drift Max 2.01''HD Screen,BT C...",Pure Black Strap,2.01, Free Size,1499.0,11999.0,Bank Offer,81
347,Fire-Boltt,Rise,"Bluetooth Calling 47mm (1.85), Metal Bo...",Gold Black Strap,1.85, Free Size,1099.0,3999.0,Super Deals,90
348,GameSir,H9,Black-A1 Full Screen Touch Watch Specially M...,Black Strap,nan, 2.01 Inch Full Screen Display,797.0,7499.0,Super Deals,80
349,GOBOULT,(formerly,"Boult) Crown R Pro 2 1.43''HD AMOLED,...",Bourbon Strap,1.43, Free Size,2499.0,11999.0,Upto ₹300 Off on Exchange,66
350,Fire-Boltt,Ninja,Talk 35.3mm (1.39) Round Bluetooth Cal...,White Classic Strap,1.39, Free Size,1888.0,2999.0,Bank Offer,84
351,GameSir,I8,Pro Smart Watch Series 8 with multiple Featu...,Black Strap,nan, 1.75 Inch Full Screen Display,630.0,8999.0,Super Deals,78
352,Noise,Pro,6 1.85'' Amoled Dispay with AI Watch Faces & ...,Ivory Gold Strap,1.85, Regular,5499.0,6499.0,Super Deals,38
353,boAt,Storm,"Infinity Plus, 20 Days BIG Battery, ASAP Cha...",Deep Blue Strap,1.96, Free Size,1199.0,6999.0,Super Deals,81
354,Noise,Icon,"4 with Stunning 1.96'' Display, Metallic Fin...",Forest Green Strap,1.96, Regular,1699.0,8999.0,Super Deals,75
355,boAt,Ultima,"Ember w/ 1.96''(4.97cm)AMOLED Screen,Person...",Rose Gold Strap,1.96, Free Size,2199.0,18999.0,Upto ₹300 Off on Exchange,75
356,Fire-Boltt,Brillia,Pro 51.3mm (2.02) Largest AMOLED Dis...,Champagne Chain Strap,2.02, Free Size,1849.0,11999.0,Super Deals,90
357,Fire-Boltt,Nnja,Talk 35.3mm (1.39) Round Bluetooth Call...,Pink Strap,1.39," 1.39""",1299.0,27900.0,Bank Offer,89
358,Apple,Watch,SE 2 GPS 44mm (2nd Gen) Starlight Aluminium...,Starlight Strap,44 mm, Free Size,24499.0,4999.0,Upto ₹300 Off on Exchange,12
359,Lifelong,Muse,"Smart Watch with BT Calling|1.91"" Display...",Multicolor Strap,1.91, Free Additional Strap,850.0,4499.0,Bank Offer,82
360,GOBOULT,(formerly,"Boult) Crown 1.95"" Screen, BT Calling...",Black Strap,1.95, Free Size,1099.0,9999.0,Super Deals,75
361,Fire-Boltt,Ninja,Calling Pro Plus 46.5mm (1.83) Display...,Cinnamon Slate Strap,1.83, Free Size,1049.0,7995.0,Super Deals,89
362,Fastrack,FX4-1.51''|Largest,AMOLED|AOD|Premium Design|S...,Gun Strap,1.51, Free Size,5245.0,7999.0,Hot Deal,34
363,Nervfit,MyCLNQ,"Pulse 1.83"" Display, BT Calls, Waterproo...",Midnight Black Strap,1.83, Free size,920.0,11995.0,Lowest price since launch,88
364,Titan,Smart,3-1.96''|Super AMOLED|AOD|Premium Design|BT...,Black Strap,1.96, Free Size,5159.0,8999.0,Upto ₹300 Off on Exchange,56
365,Noise,Evolve,4 Metal Edition with 1.46 inch AMOLED Disp...,Elite Nickel Strap,1.46, Regular,2799.0,9999.0,Super Deals,68
366,GOBOULT,(formerly,"Boult) Rover Pro 1.43'' AMOLED, BT Ca...",Ash Black Strap,1.43, Free Size,1599.0,4999.0,Super Deals,84
